#rules,#string,time(s),
10,12,0:00:07,1
5,8,0:00:03,1
5,8,0:00:04,1
5,8,0:00:03,1
5,8,0:00:03,1
5,8,0:00:03,1
5,8,0:00:04,1
5,8,0:00:03,1
5,8,0:00:04,1
5,8,0:00:03,1
5,8,0:00:04,1
10,12,0:00:06,1
10,12,0:00:07,1
10,12,0:00:07,1
10,12,0:00:08,1
10,12,0:00:08,1
10,12,0:00:07,1
10,12,0:00:07,1
10,12,0:00:12,1
10,12,0:00:06,1
10,12,0:00:07,1
7,16,0:00:10,1
7,16,0:00:08,1
7,16,0:00:08,1
7,16,0:00:10,1
7,16,0:00:09,1
7,16,0:00:10,1
7,16,0:00:11,1
7,16,0:00:10,1
7,16,0:00:10,1
7,16,0:00:10,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:04,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:04,1
8,8,0:00:04,1
8,8,0:00:04,1
8,8,0:00:04,1
5,10,0:00:06,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:06,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
6,13,0:00:14,1
6,13,0:00:17,1
6,13,0:00:13,1
6,13,0:00:51,1
6,13,0:00:18,1
6,13,0:00:14,1
6,13,0:00:12,1
6,13,0:00:17,1
6,13,0:00:12,1
6,13,0:00:18,1
4,8,0:00:07,1
4,8,0:00:07,1
4,8,0:00:08,1
4,8,0:00:06,1
4,8,0:00:07,1
4,8,0:00:10,1
4,8,0:00:10,1
4,8,0:00:08,1
4,8,0:00:08,1
4,8,0:00:10,1
4,8,0:00:07,1
4,12,0:00:24,1
4,12,0:00:16,1
4,12,0:00:18,1
4,12,0:00:10,1
4,12,0:00:09,1
4,12,0:00:13,1
4,12,0:00:13,1
4,12,0:00:12,1
4,12,0:00:12,1
4,12,0:00:09,1
10,11,0:00:05,1
10,11,0:00:07,1
10,11,0:00:07,1
10,11,0:00:06,1
10,11,0:00:05,1
10,11,0:00:05,1
10,11,0:00:05,1
10,11,0:00:11,1
10,11,0:00:07,1
10,11,0:00:09,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:05,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:07,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
8,14,0:00:06,1
8,14,0:00:07,1
8,14,0:00:06,1
8,14,0:00:05,1
8,14,0:00:06,1
8,14,0:00:06,1
8,14,0:00:07,1
8,14,0:00:05,1
8,14,0:00:07,1
8,14,0:00:06,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:05,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:04,1
6,10,0:00:11,1
6,10,0:00:11,1
6,10,0:00:11,1
6,10,0:00:10,1
6,10,0:00:11,1
6,10,0:00:10,1
6,10,0:00:11,1
6,10,0:00:19,1
6,10,0:00:12,1
6,10,0:00:13,1
2 Deletion,,,
10,11,0:00:11,1
10,11,0:00:11,1
10,11,0:00:10,1
10,11,0:00:30,1
10,11,0:00:10,1
10,11,0:00:10,1
10,11,0:00:12,1
10,11,0:00:17,1
10,11,0:00:12,1
10,11,0:00:13,1
7,10,0:00:05,1
7,10,0:00:07,1
7,10,0:00:08,1
7,10,0:00:07,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
7,10,0:00:06,1
8,14,0:00:07,1
8,14,0:00:06,1
8,14,0:00:06,1
8,14,0:00:07,1
8,14,0:00:07,1
8,14,0:00:07,1
8,14,0:00:07,1
8,14,0:00:07,1
8,14,0:00:07,1
8,14,0:00:06,1
4,12,0:00:20,1
4,12,0:00:17,1
4,12,0:00:16,1
4,12,0:00:22,1
4,12,0:00:17,1
4,12,0:00:44,1
4,12,0:00:23,1
4,12,0:00:17,1
4,12,0:00:24,1
4,12,0:00:24,1
5,8,0:00:04,1
5,8,0:00:05,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:05,1
5,8,0:00:04,1
5,8,0:00:04,1
5,8,0:00:05,1
5,8,0:00:04,1
6,10,0:00:14,1
6,10,0:00:09,1
6,10,0:00:15,1
6,10,0:00:21,1
6,10,0:00:13,1
6,10,0:00:16,1
6,10,0:00:16,1
6,10,0:00:31,1
6,10,0:00:15,1
6,10,0:00:15,1
10,12,0:00:22,1
10,12,0:01:04,1
10,12,0:00:11,1
10,12,0:00:17,1
10,12,0:00:15,1
10,12,0:00:37,1
10,12,0:00:54,1
10,12,0:00:37,1
10,12,0:00:39,1
10,12,0:00:11,1
7,16,0:00:11,1
7,16,0:00:09,1
7,16,0:00:09,1
7,16,0:00:09,1
7,16,0:00:08,1
7,16,0:00:11,1
7,16,0:00:11,1
7,16,0:00:09,1
7,16,0:00:09,1
7,16,0:00:09,1
8,9,0:00:04,1
8,9,0:00:04,1
8,9,0:00:03,1
8,9,0:00:03,1
8,9,0:00:03,1
8,9,0:00:04,1
8,9,0:00:03,1
8,9,0:00:03,1
8,9,0:00:03,1
8,9,0:00:04,1
4,8,0:00:32,1
4,8,0:00:09,1
4,8,0:00:17,1
4,8,0:00:11,1
4,8,0:00:15,1
4,8,0:00:10,1
4,8,0:00:36,1
4,7,0:00:10,1
4,8,0:00:15,1
4,8,0:00:09,1
2 Replacement,,,
5,11,0:00:06,1
5,11,0:00:06,1
5,11,0:00:06,1
5,11,0:00:06,1
5,11,0:00:06,1
5,11,0:00:06,1
5,11,0:00:07,1
5,11,0:00:06,1
5,11,0:00:05,1
5,11,0:00:05,1
6,13,0:00:31,1
6,13,0:00:27,1
6,13,0:00:20,1
6,13,0:00:24,1
6,13,0:00:16,1
6,13,0:00:31,1
6,13,0:00:18,1
6,13,0:00:21,1
6,13,0:00:20,1
6,13,0:00:18,1
7,10,0:00:05,1
7,10,0:00:09,1
7,10,0:00:06,1
7,10,0:00:05,1
7,10,0:00:06,1
7,10,0:00:05,1
7,10,0:00:05,1
7,10,0:00:05,1
7,10,0:00:06,1
7,10,0:47:44,1
10,11,0:00:15,1
10,11,0:00:07,1
10,11,0:00:11,1
10,11,0:00:09,1
10,11,0:00:08,1
10,11,0:00:07,1
10,11,0:00:10,1
10,11,0:00:07,1
10,11,0:00:06,1
10,11,0:00:06,1
7,15,0:00:10,1
7,15,0:00:10,1
7,15,0:00:08,1
7,15,0:00:08,1
7,15,0:00:08,1
7,15,0:00:11,1
7,15,0:00:08,1
7,15,0:00:09,1
7,15,0:00:08,1
7,15,0:00:08,1
8,8,0:00:03,1
8,8,0:00:04,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:03,1
8,8,0:00:04,1
8,8,0:00:04,1
4,7,0:00:06,1
4,7,0:00:08,1
4,7,0:00:06,1
4,7,0:00:05,1
4,7,0:00:08,1
4,7,0:00:07,1
4,7,0:00:06,1
4,7,0:00:09,1
4,7,0:00:07,1
4,7,0:00:07,1
5,10,0:00:04,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
5,10,0:00:05,1
6,12,0:00:15,1
6,12,0:00:15,1
6,12,0:00:15,1
6,12,0:00:31,1
6,12,0:00:18,1
6,12,0:00:22,1
6,12,0:01:43,1
6,12,0:00:30,1
6,12,0:00:15,1
6,12,0:00:27,1
7,9,0:00:06,1
7,9,0:00:04,1
7,9,0:00:05,1
7,9,0:00:04,1
7,9,0:00:05,1
7,9,0:00:04,1
7,9,0:00:05,1
7,9,0:00:04,1
7,9,0:00:05,1
7,9,0:00:05,1
10,9,0:00:06,1,3
10,9,0:00:06,1,3
10,9,0:00:06,1,3
10,9,0:00:05,1,3
10,9,0:00:06,1,3
10,9,0:00:14,1,3
10,9,0:00:06,1,3
10,9,0:00:13,1,3
10,9,0:00:07,1,3
10,9,0:00:06,1,3
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:05,1,4
7,9,0:00:04,1,4
7,9,0:00:04,1,4
8,13,0:00:05,1,3
8,13,0:00:06,1,3
8,13,0:00:06,1,3
8,13,0:00:05,1,3
8,13,0:00:05,1,3
8,13,0:00:06,1,3
8,13,0:00:05,1,3
8,13,0:00:05,1,3
8,13,0:00:06,1,3
8,13,0:00:06,1,3
4,11,0:00:16,1,5
4,11,0:00:13,1,5
4,11,0:00:11,1,5
4,11,0:00:10,1,5
4,11,0:00:13,1,5
4,11,0:00:16,1,5
4,11,0:00:14,1,5
4,11,0:00:10,1,5
4,11,0:00:11,1,5
4,11,0:00:14,1,5
5,6,0:00:03,1,4
5,6,0:00:03,1,4
5,6,0:00:04,1,4
5,6,0:00:03,1,4
5,6,0:00:03,1,4
5,6,0:00:03,1,4
5,6,0:00:04,1,4
5,6,0:00:03,1,4
5,6,0:00:04,1,4
5,6,0:00:03,1,4
6,9,0:00:20,1,6
6,9,0:00:11,1,6
6,9,0:00:09,1,6
6,9,0:00:15,1,6
6,9,0:00:11,1,6
6,9,0:00:12,1,6
6,9,0:00:26,1,6
6,9,0:00:14,1,6
6,9,0:00:11,1,6
6,9,0:00:11,1,6
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
7,7,0:00:05,1,3
7,7,0:00:04,1,3
7,7,0:00:04,1,3
